,Overall Keywords,Overall MZ Keywords,Prepandemic Keywords,Prepandemic MZ Keywords,Covid Keywords,Covid MZ Keywords
0,provider,tbh,provide,sampling,provider,isi
1,providers,latinx,provider,cullum,providers,own
2,providence,guided,providers,face,telepsychology use technology provide,blue
3,technology provide,mbc,providence,n,clinically,vcp
4,health,tows,service,late,clinical,compact
5,service,tribal,services,news,clinic,angold
6,services,respiratory,treatment,style,clinics,innovations
7,clinically,lower,treatments,weiner,telepsychological,latino
8,clinical,islands,health,compact,health,medalia
9,clinic,pacific,technology,end,service,surgeons
